"chr","start","end","width","nCpGs","minFDR","Stouffer","maxdiff","meandiff","overlapping_genes"
"chr7",27142816,27145517,2702,51,9.45708528210448e-40,3.37007055505187e-24,0.0103168717252247,0.00481733942394614,"HOXA-AS3, HOXA3, AC004080.6, HOXA5, HOXA6"
"chr6",32095137,32098113,2977,49,2.24701673869269e-35,4.61934759818106e-27,0.0105167465408689,0.00494080172885719,"TNXB"
"chr17",44004226,44006621,2396,19,9.57782158330289e-29,8.75939658928382e-26,0.0100287609139623,0.00654626213640426,"NAGS, PYY"
"chr16",67161755,67164340,2586,17,5.37201736656119e-24,1.7366573675464e-15,0.00903096313264837,0.00568365904838222,"FBXL8, AC074143.1"
"chr6",29552921,29554004,1084,30,2.35767730795006e-22,5.58688553431956e-14,0.00605566717533411,0.00236963416422701,"OR2I1P"
"chr15",83282911,83286097,3187,35,4.43041206924913e-21,6.81405854332651e-16,0.00987032536609027,0.00410908390116143,"AC103876.1, BNC1"
"chr2",191845500,191848317,2818,17,6.35694656731522e-20,1.46425890783678e-15,-0.0116794878707932,-0.00646672844856482,"CAVIN2-AS1, CAVIN2"
"chr1",52842193,52844264,2072,11,1.09666418168408e-19,5.0618714668195e-07,0.00914616089743347,0.00382734051261811,"ZYG11A"
"chr5",135930028,135931207,1180,14,1.69105474122588e-19,1.05336982045003e-15,0.00843143290584288,0.005391798490832,"FBXL21P, LECT2"
"chr4",10456425,10458613,2189,17,2.88121094627408e-19,6.93040216964158e-08,0.00894159163123484,0.00378493753552036,"AC005599.1, ZNF518B"
"chr6",25651448,25652587,1140,14,5.37858554246697e-19,2.51141750913377e-09,0.00739322695106353,0.00328383405301084,"SCGN"
"chr6",11043873,11045137,1265,9,2.52800066221915e-18,0.000203196137518004,0.0152131570081856,0.00429170635455565,"ELOVL2-AS1, ELOVL2"
"chr2",176187758,176189845,2088,20,3.23023185699879e-18,2.20146814603071e-05,0.00889343547991789,0.00230752930048008,"HOXD1, MIR7704, HAGLR"
"chr10",8052897,8055391,2495,41,9.47285424414968e-18,5.17377426488465e-10,0.00568552574811817,0.00229728982832551,"GATA3, AL390294.1, GATA3-AS1"
"chr13",99988660,99992403,3744,27,2.09702885696025e-17,9.91486948429982e-26,-0.0113267187459393,-0.0077530738495053,""
"chr7",135147379,135148583,1205,13,5.63974216476231e-17,8.54153102351776e-17,-0.0110011199913965,-0.00849538945234215,"AGBL3, TMEM140, CYREN"
"chr2",88451639,88453318,1680,9,9.89987907295449e-17,2.8816311173607e-10,0.010565988825673,0.00415291379140466,"FOXI3"
"chr7",35253285,35255047,1763,16,1.01566991182536e-16,8.45535571541869e-10,0.00858698457980423,0.0036601566938187,"TBX20"
"chr14",101560385,101561460,1076,12,2.327670615717e-16,1.48492836049947e-09,0.0103956789118192,0.00508031428727737,"DIO3, DIO3OS, MIR1247"
"chr1",50422788,50425280,2493,18,8.41342282501172e-16,6.52832146897785e-14,0.00806662577069994,0.00387315217612574,"AL049637.1, DMRTA2"
"chr17",38509590,38511546,1957,10,9.16275274890397e-16,2.10028390744921e-14,0.0116539600598916,0.00871092788276676,"ARHGAP23"
"chr12",114697081,114698503,1423,36,9.51554773928395e-16,7.66026507585106e-09,0.00670441996362895,0.00273151779877099,"AC026765.3"
"chr1",119005904,119008696,2793,15,9.51554773928395e-16,2.59667470107644e-17,0.0111098940956815,0.00666538657258182,""
"chr17",44656000,44657291,1292,12,9.51554773928395e-16,4.23324670745936e-08,0.00807176255355788,0.00377421805092851,"MEIOC"
"chr11",63887430,63889393,1964,13,1.48116463231571e-15,2.80687597721878e-09,-0.0102286952766719,-0.00541438445702607,"MARK2"
"chr7",27241696,27243790,2095,27,1.89157662359327e-15,2.02317594648539e-07,0.00688220494899805,0.00253707906401022,"EVX1, EVX1-AS"
"chr8",100336131,100337471,1341,11,2.28941371684955e-15,1.83747595770462e-13,-0.0104843614574121,-0.00718405721172935,"RNF19A"
"chr2",28810195,28811186,992,9,2.43754088756881e-15,5.4224826236578e-07,0.0108680158172797,0.00489044751213133,"SPDYA, AC097724.1"
"chr13",100516620,100518399,1780,8,3.76608380824528e-15,1.86449300883864e-12,-0.00976358941439028,-0.00701106115283356,"PCCA"
"chr16",179408,181150,1743,11,5.31951480537708e-15,0.000176051950320014,0.0106240727194334,0.00384323893905901,"HBQ1"
"chr11",2376293,2377626,1334,24,5.8374993324584e-15,0.03153603328918,0.00975063646666072,0.00123406829107605,"CD81, CD81-AS1"
"chr8",70070020,70072682,2663,19,9.96575724067872e-15,2.35307133961539e-10,0.0108733943039415,0.00455133408230098,"PRDM14"
"chr5",16508811,16510380,1570,9,1.07477855304313e-14,5.27162697340951e-13,-0.00935000894763887,-0.00634472803691571,"RETREG1"
"chr8",35234670,35236535,1866,13,1.12322277358525e-14,8.92301667839445e-12,0.00767378394419992,0.00306978739199999,"UNC5D"
"chr5",127651814,127653191,1378,9,1.19501347125058e-14,2.26589340025962e-12,-0.0074560180787685,-0.00590848515338842,"CTXN3, AC022118.1"
"chr11",74310778,74312174,1397,15,1.60756219234174e-14,4.50930799586905e-11,0.0115266673912319,0.00530020714518545,"P4HA3-AS1, P4HA3"
"chr18",24397376,24398504,1129,13,2.10185036023973e-14,2.43762913465634e-10,0.00737875618444028,0.00307983602978007,"OSBPL1A"
"chr11",2868579,2870265,1687,31,2.19522301046291e-14,2.06215931791708e-07,0.00976958868489879,0.0042722594733577,"KCNQ1DN"
"chr15",32717790,32719240,1451,9,9.39168733508588e-14,5.13816946641582e-07,0.0115429066785085,0.00315507428569278,"GREM1, AC090877.2"
"chr2",71276116,71277641,1526,12,1.05040904534055e-13,1.05233132506474e-09,0.00967706549290262,0.00462312069752752,"ZNF638"
"chr14",93938570,93940272,1703,8,1.28797874399806e-13,0.000234968385772015,0.0112061298852475,0.00514513384264917,"AL132642.1, ASB2"
"chr3",172447727,172449655,1929,14,1.48296269165978e-13,5.39747445562734e-06,0.008391712137792,0.00250963304362368,"GHSR"
"chr6",117270270,117271195,926,5,1.64706900421757e-13,1.42181194194738e-05,0.00757128412893594,0.00393675583239894,"VGLL2"
"chr10",11741795,11743162,1368,12,1.89490326989572e-13,3.04707232088658e-10,0.00976567474383953,0.00543541512515613,"ECHDC3"
"chr5",2038414,2038875,462,6,1.89544183366245e-13,4.28207889805057e-09,0.00958260919873452,0.00523507553311473,"AC124852.1"
"chr8",123657418,123658733,1316,14,2.06981148591263e-13,1.471005101852e-10,-0.00926869160669798,-0.004573189570975,"AC135166.1"
"chr17",7929161,7930345,1185,10,2.08821903539015e-13,1.38617980492528e-07,0.0113872720294663,0.00576313174637678,"KCNAB3, AC104581.2, TRAPPC1"
"chr15",74201299,74203699,2401,18,2.33183508181542e-13,2.18443573362334e-12,-0.00734103376348596,-0.00499197334888258,"CCDC33, STRA6"
"chr11",126402181,126404165,1985,10,2.53550860932803e-13,7.20885529796464e-11,-0.00841200148524548,-0.00616884264517832,"ST3GAL4"
"chr6",30742596,30745320,2725,63,2.65008214557597e-13,6.81405854332651e-16,0.00834068665891031,0.00354984346047734,"IER3-AS1, HCG20, FLOT1, IER3"
"chr10",127735734,127739044,3311,18,2.65624462394395e-13,1.17174616037856e-13,0.00994440228219991,0.00597173233819192,"FOXI2, AL391005.1"
"chr15",96346822,96348247,1426,8,2.89886140190528e-13,1.91469173527484e-10,-0.0120978371701656,-0.00829151010760408,""
"chr4",110639306,110640196,891,9,3.402591100121e-13,3.86924126885884e-05,0.0127610263726164,0.00519325490121577,"PITX2"
"chr2",176128904,176130828,1925,17,3.88468898562982e-13,4.13528510597479e-09,0.006119355652892,0.00264818610663228,"HOXD8, HOXD-AS2"
"chr5",171307852,171310392,2541,18,3.93516502014993e-13,1.6538030574137e-10,0.00844672190482606,0.00406668676394092,"TLX3, AC091980.2"
"chr15",74172409,74175368,2960,17,4.06686864797678e-13,6.63202695888175e-11,-0.00813639974069323,-0.00573550518170414,"ISLR, AC010931.2"
"chr10",14008306,14008719,414,7,4.21520615522892e-13,1.51586964754402e-10,-0.00919234183074264,-0.00652770339898525,"FRMD4A"
"chr5",10649269,10650239,971,3,4.44463581590753e-13,1.37753983729191e-08,0.0109429192787756,0.00862827641721336,"ANKRD33B"
"chr10",35639626,35640441,816,4,4.55618693480331e-13,0.000110161858258423,0.010526775038541,0.00494692983978502,"FZD8"
"chr20",23047667,23049465,1799,8,4.57945535550355e-13,9.44978929325544e-07,0.00973013783678475,0.00530663810472077,"THBD"
"chr7",124764768,124766508,1741,15,5.08878160002839e-13,3.68428864372821e-12,0.00948840417126848,0.00551998185389454,"GPR37"
"chr18",78978201,78980962,2762,19,7.30873790976875e-13,1.23642653622348e-10,0.00760482779618077,0.00313242374078239,"SALL3, LINC01896"
"chr3",120907260,120909444,2185,16,8.80459387752576e-13,3.28428130644915e-06,0.00747501490874905,0.00349559137685571,"STXBP5L, AC072026.2"
"chr15",45022381,45023444,1064,15,9.71409356428931e-13,5.59865734729366e-12,0.00806985139393553,0.00365410232930193,"SORD"
"chr16",49281391,49282286,896,10,1.0561688833532e-12,9.65809677796875e-10,0.0066067333094715,0.00353479911636349,"AC007614.1, CBLN1"
"chr17",45404853,45406289,1437,9,1.09303393829727e-12,3.91973232445262e-07,0.0092433790835397,0.00401194377704058,"ARHGAP27"
"chr6",83707726,83710108,2383,29,1.17285950928796e-12,4.31610235376288e-09,0.00665899700823766,0.00220877188021827,"SNAP91"
"chr6",109977948,109980276,2329,17,1.37528261408291e-12,3.86338883440238e-07,0.0109971034351426,0.00432530692090645,"GPR6"
"chr10",129962497,129963788,1292,12,1.73957398107109e-12,1.38983645917787e-05,0.00909970588791305,0.00406738863997321,"EBF3"
"chr12",68932748,68934167,1420,11,1.95553230671949e-12,7.73756390470419e-06,0.00832158045650897,0.00318882265929906,"CPM"
"chr6",167093959,167095049,1091,10,2.38244913768231e-12,0.000211443570725565,-0.0097632627191615,-0.00439829138271183,"CEP43, Z94721.2"
"chr5",93594346,93597208,2863,15,2.70385931351237e-12,2.14825830497004e-10,-0.00998226895882369,-0.00573033343500719,"NR2F1"
"chr14",92922455,92923546,1092,18,3.60726721020743e-12,8.20021189198518e-07,0.00888436478090236,0.0027578472330868,"CHGA"
"chr10",25061307,25062598,1292,8,4.07251779425159e-12,2.89113615132464e-11,-0.0106621772168534,-0.00761860111844317,"AL512598.2, ENKUR"
"chr6",122995452,122996730,1279,17,4.08952390063213e-12,1.05313045389384e-08,0.00789003014965039,0.00272033225484383,"CLVS2, AL591428.1"
"chr18",5196398,5197633,1236,14,4.44124899527046e-12,2.23932565813882e-10,0.0063538883899873,0.00310271033603724,"AP001496.4, AKAIN1"
"chr8",26864219,26866067,1849,16,4.87980519661213e-12,4.77863102549363e-11,0.0106447052124014,0.00695642833909681,"ADRA1A"
"chr15",96342789,96345204,2416,15,5.2422277580017e-12,6.00070560652721e-16,-0.0107202848844524,-0.00710147004883375,"AC103746.1"
"chr2",176106576,176108084,1509,13,6.0137944053567e-12,8.73289011127548e-08,0.00732082840524829,0.00324955401863213,"HOXD11"
"chr11",2140616,2142283,1668,24,6.32030970634154e-12,1.91469173527484e-10,0.00862332230330782,0.00420955150126902,"IGF2-AS, IGF2, AC132217.2, INS-IGF2"
"chr18",5455803,5456539,737,4,6.32030970634154e-12,5.10554330144263e-06,-0.00969253629106808,-0.0062515106114645,"EPB41L3"
"chr6",1765812,1766690,879,7,8.45179572845885e-12,3.91571629522647e-10,-0.00862935543009931,-0.00671114393368451,"GMDS"
"chr10",129964870,129967514,2645,11,8.45445628477764e-12,3.94373642863602e-10,0.0070304550894086,0.00516580209013717,"EBF3"
"chr11",69011277,69013889,2613,17,8.45836983109423e-12,1.05233132506474e-09,-0.00816126501742651,-0.00357544813134744,"MRGPRF-AS1, MRGPRF"
"chr5",170861251,170862844,1594,16,8.62059306846675e-12,2.39207450663817e-06,0.0109730880885374,0.00441602061777333,"RANBP17"
"chr7",55077899,55079734,1836,10,1.0972053393214e-11,9.291019804591e-08,-0.00811838539347719,-0.00452542150568175,"EGFR"
"chr3",68931796,68932947,1152,14,1.111988898451e-11,1.05233132506474e-09,0.00984413564061653,0.00492198227934776,"TAFA4"
"chr6",116876382,116877904,1523,11,1.34670900529727e-11,0.00072759628855159,0.00715263949347748,0.00256546707645529,"RFX6"
"chr6",31680737,31681951,1215,31,1.54880079664653e-11,2.95680236481415e-08,-0.00847465485235982,-0.00150357392317165,"LY6G5C"
"chr16",8712502,8713451,950,15,1.67952343747788e-11,5.69238230356119e-12,0.00798695514110438,0.00524696748682674,"ABAT"
"chr20",2206228,2207929,1702,11,1.72271918436343e-11,4.70178831495482e-06,0.00898150468705463,0.00312100148272721,"AL121899.1, AL121899.2, AL121899.4"
"chr20",46028476,46030302,1827,11,1.85631521283048e-11,2.16649684682417e-09,0.00847427516972335,0.00335306811461806,"SLC12A5"
"chr5",139481225,139483456,2232,15,1.8856969536085e-11,3.68428864372821e-12,-0.00890319329212945,-0.00479040493680082,"STING1"
"chr1",150974927,150976290,1364,14,2.12255562031215e-11,7.87040008025736e-05,0.0103124840446745,0.00310165101137883,"AL590133.1, CERS2"
"chr20",21397407,21398508,1102,15,2.27754436035017e-11,8.57519623951055e-07,0.00548909840965025,0.0015341223618838,"AL158013.1, NKX2-4"
"chr2",98086645,98087472,828,13,2.2965455288391e-11,8.20021189198518e-07,0.00976687497448792,0.00413794949191313,"VWA3B"
"chr3",192514288,192515909,1622,7,2.35862135120387e-11,1.40899503970086e-06,0.0117546209979131,0.00590576120634091,"FGF12-AS2, FGF12"
"chr1",58895879,58897674,1796,11,2.39366212092009e-11,1.78066984131634e-05,-0.00993063956343912,-0.00402899777136161,"LINC01135, LINC02777"
"chr19",7873508,7874104,597,4,2.65537878407647e-11,2.33422983059564e-06,0.0101723943027999,0.00656356034248878,"PRR36"
"chr16",252853,253193,341,5,2.81866295506221e-11,4.68425872435418e-09,-0.0105819256135959,-0.00902663188072001,"FAM234A"
"chr8",59118879,59120424,1546,17,3.13636745237005e-11,3.12113397947585e-10,0.00761415307402198,0.00359477167242072,"AC090152.1, TOX"
"chr22",25026922,25028545,1624,10,3.16422493441022e-11,4.64881766861398e-09,-0.00892731548363255,-0.00520761480373422,"KIAA1671"
"chr8",24912868,24914132,1265,11,3.33807394338609e-11,1.11968625205784e-08,0.00959228049590913,0.00675759739976417,"NEFM, AF106564.1"
"chr12",53972423,53974488,2066,15,3.43658155618129e-11,1.46266227320064e-05,0.00801468188016475,0.00348786814549012,"HOXC11, HOTAIR"
"chr8",119206912,119208616,1705,14,3.6367291442544e-11,0.000110448405873064,0.0126189841809986,0.00335124803559876,"MAL2"
"chr4",8579923,8581636,1714,12,3.74975230530549e-11,6.10201982001032e-07,0.00896714647107195,0.00425620132615568,"GPR78"
"chr19",38303874,38305454,1581,12,4.0127285028445e-11,3.78856693068441e-11,-0.0106252992641499,-0.00632407340665456,"AC011479.1, C19orf33, YIF1B"
"chr3",123883921,123884777,857,12,4.05246858870513e-11,0.00278510800522424,0.00994023632154444,0.00216118325237675,"MYLK"
"chr9",16120876,16121844,969,6,4.05982530806809e-11,2.82828731704271e-09,-0.010330066548716,-0.00848041352336556,""
"chr6",113903848,113904718,871,7,4.10727595272717e-11,1.01546687082904e-07,-0.0109208299020953,-0.00731829840678767,"LINC02880"
"chr1",1354415,1355684,1270,10,4.97075706391973e-11,5.22967934802185e-09,0.00991806232783548,0.00607788476246595,"MXRA8"
"chr13",78595579,78597544,1966,17,4.98560200702934e-11,5.06242574322863e-07,0.00717698410546341,0.00435305539293526,"OBI1-AS1, AL445209.1"
"chr6",116060446,116061433,988,6,5.22880603308343e-11,3.07262538421809e-08,-0.0105683096661544,-0.00823147364018023,"FRK"
"chr3",172594733,172595528,796,5,5.23604716540396e-11,7.86491706309362e-08,-0.0108013284789724,-0.00740812252210902,"LINC02068"
"chr2",234497324,234498509,1186,10,6.04349761939664e-11,0.00391813053104001,0.0104246663977509,0.00319289467468256,""
"chr1",233326829,233327757,929,7,6.26525283517539e-11,0.000313295136798025,0.010282406650575,0.0046570953102168,"MAP3K21"
"chr7",27173143,27174841,1699,18,6.55807235314342e-11,3.28066043509705e-05,0.00732291061138918,0.00259979463504504,"HOXA9, AC004080.3, HOXA10"
"chr2",206274342,206275579,1238,13,6.98757330107676e-11,1.25279472969691e-06,0.00563462903525007,0.00238659678315088,"ZDBF2"
"chr11",44950337,44952099,1763,18,9.91683046678769e-11,0.000300776212240018,0.00758151635700552,0.00191197003362875,"TP53I11"
"chr10",22344987,22346214,1228,15,1.03663805622841e-10,3.8520372777522e-06,0.00777768627961696,0.00376029317403679,"SPAG6"
"chr3",108461931,108462990,1060,5,1.07062675644788e-10,2.67640045763709e-05,-0.00866242866831678,-0.00473688418407687,"MYH15"
"chr6",101398197,101399830,1634,20,1.20027000040693e-10,4.08249623973366e-06,0.00910546464949788,0.00327118311120663,"GRIK2"
"chr16",979745,981205,1461,11,1.21400412172752e-10,1.88082220296053e-07,0.00945817652922512,0.0037412100478637,"LMF1, CEROX1"
"chr5",168020882,168021074,193,2,1.29333058261418e-10,8.09063009411513e-07,-0.0106952784906732,-0.0106227590399899,"TENM2"
"chr11",10454695,10456300,1606,12,1.38331146008371e-10,2.0831042328141e-10,-0.00863955698460247,-0.00591171144575627,"AMPD3"
"chr13",78602437,78604369,1933,13,1.38431034474043e-10,1.87381840841812e-08,0.00740584325339299,0.00428134962249675,"OBI1-AS1, POU4F1"
"chr11",17014232,17015275,1044,12,1.42298586569429e-10,2.28403260628335e-05,0.01264222956904,0.00428005131612802,"OR7E14P, PLEKHA7"
"chr11",60952212,60952757,546,6,1.97085018269415e-10,4.72621176657957e-09,-0.0104607450695842,-0.00880166341807959,"SLC15A3"
"chr10",122162796,122163584,789,11,2.0001931300375e-10,0.00205760056805604,0.00910610420589879,0.00326798613803928,"TACC2"
"chr17",48612191,48615974,3784,23,2.26541664985491e-10,2.19414357314787e-05,0.00930642639404711,0.00216590162476234,"HOXB7, HOXB8"
"chr11",27404687,27406012,1326,4,2.46968929454637e-10,1.01546687082904e-07,-0.00876069202580919,-0.00494811441588922,"LGR4"
"chr18",24138412,24139604,1193,21,2.68041965287156e-10,2.22900215888315e-08,0.00565487641249702,0.00282212501903733,"CABYR"
"chr1",29121459,29122113,655,4,2.86477663430487e-10,9.17702951253891e-05,0.00928906154983577,0.0040081496208679,"TMEM200B"
"chr13",101452222,101454072,1851,13,3.10254376640477e-10,1.07638079290718e-09,-0.0112891353052608,-0.00724645171672572,"ITGBL1"
"chr14",24171686,24173149,1464,15,3.32912862076055e-10,2.13208765545824e-10,0.00807370057312827,0.00516392751818077,"REC8"
"chr1",154501632,154503212,1581,11,3.42237183040466e-10,8.59130656563867e-08,0.00988420495969126,0.00466239613821889,"TDRD10, SHE"
