"Name","gene_name","chr","pos","Relation_to_Island","UCSC_RefGene_Group"
"cg23947039_TC11","BDNF","chr11",27700490,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg05733135_BC11","BDNF","chr11",27719329,"Island",""
"cg06260077_TC11","BDNF","chr11",27699803,"Shore","TSS200"
"cg11241206_TC11","BDNF","chr11",27701581,"Shore","5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg13974632_TC11","BDNF","chr11",27719266,"Island",""
"cg22043168_TC11","BDNF","chr11",27719530,"Island","5UTR;exon_1"
"cg07159484_TC11","BDNF","chr11",27700976,"Island","exon_1;5UTR;exon_1;5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg15688670_TC11","BDNF","chr11",27701643,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg01583131_BC11","BDNF","chr11",27723128,"Shore","TSS1500"
"cg09606766_TC11","BDNF","chr11",27701424,"Shore","5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg14589148_BC11","BDNF","chr11",27722101,"Island","TSS200;TSS1500;TSS1500;TSS1500"
"cg15313332_TC11","BDNF","chr11",27699723,"Shore","TSS200"
"cg18117895_TC11","BDNF","chr11",27700519,"Island","TSS1500;TSS200;TSS200;TSS200"
"cg26057780_BC11","BDNF","chr11",27699730,"Shore","TSS200"
"cg06025631_TC11","BDNF","chr11",27701002,"Island","5UTR;exon_1;exon_1;5UTR;exon_1;5UTR;exon_1;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg24377657_TC11","BDNF","chr11",27701698,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS200"
"cg09492354_BC11","BDNF","chr11",27699162,"Shore",""
"cg27193031_TC11","BDNF","chr11",27699541,"Shore","exon_1;5UTR"
"cg25412831_BC11","BDNF","chr11",27720591,"Island","5UTR;exon_1;5UTR;exon_1;TSS1500"
