Name	gene_name
cg23947039_TC11	BDNF
cg05733135_BC11	BDNF
cg06260077_TC11	BDNF
cg11241206_TC11	BDNF
cg13974632_TC11	BDNF
cg22043168_TC11	BDNF
cg07159484_TC11	BDNF
cg15688670_TC11	BDNF
cg01583131_BC11	BDNF
cg09606766_TC11	BDNF
cg14589148_BC11	BDNF
cg15313332_TC11	BDNF
cg18117895_TC11	BDNF
cg26057780_BC11	BDNF
cg06025631_TC11	BDNF
cg24377657_TC11	BDNF
cg09492354_BC11	BDNF
cg27193031_TC11	BDNF
cg25412831_BC11	BDNF
cg06046431_TC11	BDNF
cg25381667_TC11	BDNF
cg17882499_BC11	BDNF
cg21291635_TC11	BDNF
cg12296752_BC11	BDNF
cg22128379_BC11	BDNF
cg27193031_TC12	BDNF
cg01225698_BC21	BDNF
cg16257091_BC21	BDNF
cg27351358_BC21	BDNF
cg04481212_TC21	BDNF
cg24650785_TC21	BDNF
cg04106006_TC21	BDNF
cg10558494_BC21	BDNF
cg10635145_TC21	BDNF
cg25962210_TC21	BDNF
cg06816235_TC21	BDNF
cg01642653_TC21	BDNF
cg17413943_TC21	BDNF
cg20340655_TC21	BDNF
cg08362738_TC21	BDNF
cg24249411_TC21	BDNF
cg12067298_BC21	BDNF
cg01636003_BC21	BDNF
cg26949694_TC21	BDNF
cg03167496_TC21	BDNF
cg09505801_BC21	BDNF
cg20108357_TC21	BDNF
cg25328597_BC21	BDNF
cg25156688_BC21	BDNF
cg12448003_TC21	BDNF
cg15014679_BC21	BDNF
cg03984780_TC21	BDNF
cg25457956_BC21	BDNF
cg23497217_BC21	BDNF
cg00298481_TC21	BDNF
cg16141574_BC21	BDNF
cg21010859_BC21	BDNF
cg07238832_TC21	BDNF
cg11718030_TC21	BDNF
cg23330212_BC21	BDNF
cg06684850_TC21	BDNF
cg23619332_TC21	BDNF
cg07704699_BC21	BDNF
cg03747251_BC21	BDNF
cg20954537_BC21	BDNF
cg15710245_TC21	BDNF
cg15462887_BC21	BDNF
cg05218375_TC21	BDNF
cg11806762_BC21	BDNF
cg01418645_BC21	BDNF
cg02613510_TC21	BDNF
cg02527472_TC21	BDNF
cg10022526_BC21	BDNF
cg24065044_BC21	BDNF
cg05818894_TC21	BDNF
cg14291693_BC21	BDNF
cg04672351_TC21	BDNF
cg18595174_TC21	BDNF
cg15914769_TC21	BDNF
cg23426002_BC21	BDNF
cg25928860_BC21	BDNF
cg16709457_TC21	BDNF
cg07919246_TC21	BDNF
cg11865360_TC21	BDNF
cg22288103_TC21	BDNF
cg23143371_BC21	BDNF
cg01546433_BC21	BDNF
cg05847680_BC21	BDNF
cg02649626_BC21	BDNF
cg02386994_BC21	BDNF
cg26840770_BC21	BDNF
cg08760147_BC21	BDNF
cg16142086_TC21	BDNF
cg16142034_BC21	BDNF
cg06979684_TC21	BDNF
cg12021170_TC21	BDNF
cg07236904_TC11	CLOCK
cg11774413_BC11	CLOCK
cg23506964_BC11	CLOCK
cg27298069_BC11	CLOCK
cg25505393_TC11	CLOCK
cg08033122_BC11	CLOCK
cg19095271_TC11	CLOCK
cg19111910_BC11	CLOCK
cg17824860_TC11	CLOCK
cg11569219_TC11	CLOCK
cg09744584_TC11	CLOCK
cg21834420_BC11	CLOCK
cg04485603_BC21	CLOCK
cg05960024_BC21	CLOCK
cg02613926_TC21	CLOCK
cg20260841_TC21	CLOCK
cg05826175_BC21	CLOCK
cg18928811_BC21	CLOCK
cg25530661_TC21	CLOCK
cg07500410_TC21	CLOCK
cg02683371_BC21	CLOCK
cg00659990_BC21	CLOCK
cg18470649_TC21	CLOCK
cg06085476_BC21	CLOCK
cg25181236_TC21	CLOCK
cg19298990_TC21	CLOCK
cg18539169_BC21	CLOCK
cg12219319_BC21	CLOCK
cg06587474_BC21	CLOCK
cg10515766_TC21	CLOCK
cg06764795_BC21	CLOCK
cg04200137_TC21	CLOCK
cg01937505_BC21	CLOCK
cg26535070_BC21	CLOCK
cg15096653_BC21	CLOCK
cg09847994_BC21	CLOCK
cg24796870_TC21	CLOCK
cg06588162_BC21	CLOCK
cg15048607_BC21	CLOCK
cg24004414_BC21	CLOCK
cg27132802_TC21	CLOCK
cg08935434_BC21	CLOCK
cg24000108_TC21	CLOCK
cg08772927_BC21	CLOCK
cg15929069_TC21	CLOCK
cg16125666_BC21	CLOCK
cg19825305_TC21	CLOCK
cg19429538_BC21	CLOCK
cg13551643_BC21	CLOCK
cg08407670_BC21	CLOCK
cg12893431_BC21	CLOCK
cg06588416_BC21	CLOCK
cg23601416_BC11	COMT
cg11032634_BC11	COMT
cg25663764_TC11	COMT
cg20709110_TC11	COMT
cg12175949_BC11	COMT
cg07019740_BC11	COMT
cg10253022_TC11	COMT
cg25836061_BC11	COMT
cg11361387_TC11	COMT
cg26067913_TC11	COMT
cg26067914_TC11	COMT
cg24899205_TC11	COMT
cg03205258_BC11	COMT
cg26067942_BC11	COMT
cg22820354_BC21	COMT
cg15926585_TC21	COMT
cg23268677_BC21	COMT
cg00107488_BC21	COMT
cg15834517_BC21	COMT
cg27521571_TC21	COMT
cg06787004_BC21	COMT
cg11712482_TC21	COMT
cg24547396_TC21	COMT
cg18704527_BC21	COMT
cg04856117_BC21	COMT
cg13175282_TC21	COMT
cg19964470_BC21	COMT
cg08829877_TC21	COMT
cg07194846_BC21	COMT
cg00721193_BC21	COMT
cg09926649_BC21	COMT
cg00465975_BC21	COMT
cg19930203_BC21	COMT
cg00886856_BC21	COMT
cg08289189_BC21	COMT
cg08730070_TC21	COMT
cg12728623_TC21	COMT
cg22546130_TC21	COMT
cg06346307_BC21	COMT
cg06860277_BC21	COMT
cg21905167_TC21	COMT
cg12457376_BC21	COMT
cg18731680_BC21	COMT
cg11219691_TC21	COMT
cg01335087_BC21	COMT
cg26067650_BC21	COMT
cg27255659_TC21	COMT
cg16097539_BC21	COMT
cg27399558_TC21	COMT
cg13248910_BC21	COMT
cg09112115_TC21	COMT
cg26513451_TC21	COMT
cg11388006_BC21	COMT
cg04303964_BC21	COMT
cg01633693_TC21	COMT
cg26385674_TC21	COMT
cg24164157_BC21	COMT
cg07073234_BC21	COMT
cg26394781_BC21	COMT
cg14028877_TC21	COMT
cg27449804_BC21	COMT
cg12746246_BC21	COMT
cg09914785_TC21	COMT
cg10025908_TC21	COMT
cg08825848_BC21	COMT
cg24914853_BC21	COMT
cg26067843_BC21	COMT
cg16918267_BC21	COMT
cg22906524_BC21	COMT
cg03724721_TC21	COMT
cg21919834_TC21	COMT
cg07579946_TC21	COMT
cg06045576_BC21	COMT
cg17675298_TC21	COMT
cg18773129_BC21	COMT
cg07352953_BC21	COMT
cg26068064_TC21	COMT
cg26067724_BC21	COMT
cg26068278_TC21	COMT
cg26068085_TC21	COMT
cg26067938_BC21	COMT
cg26067726_TC21	COMT
cg26067721_TC21	COMT
cg26067356_TC21	COMT
cg22739477_TC11	CREB1
cg05727155_BC11	CREB1
cg03090513_TC11	CREB1
cg06691214_TC11	CREB1
cg19956940_TC11	CREB1
cg01724041_BC11	CREB1
cg10434707_BC11	CREB1
cg08862564_BC11	CREB1
cg07623923_BC21	CREB1
cg10723020_TC21	CREB1
cg18579327_TC21	CREB1
cg25158734_BC21	CREB1
cg05019488_BC21	CREB1
cg10495393_BC21	CREB1
cg06629337_TC21	CREB1
cg07441773_BC21	CREB1
cg23761332_BC21	CREB1
cg16641411_BC21	CREB1
cg15684003_BC21	CREB1
cg16107117_BC21	CREB1
cg15402961_TC21	CREB1
cg13388531_BC21	CREB1
cg11129112_BC21	CREB1
cg11533257_BC21	CREB1
cg02443896_BC21	CREB1
cg25187763_TC21	CREB1
cg22026774_TC21	CREB1
cg01936702_TC21	CREB1
cg08359777_TC21	CREB1
cg22211850_BC21	CREB1
cg25558653_TC21	CREB1
cg21390179_TC21	CREB1
cg02341080_TC21	CREB1
cg04066386_TC21	CREB1
cg05666620_TC21	CREB1
cg07684566_TC21	CREB1
cg02686491_BC21	CREB1
cg19353515_BC21	CREB1
cg11779501_BC21	CREB1
cg05019488_BC22	CREB1
cg04066117_TC21	CREB1
cg19479609_TC21	CREB1
cg04997275_TC21	CREB1
cg04066654_TC21	CREB1
cg17305181_TC11	CRH
cg21240762_BC11	CRH
cg04041976_BC11	CRH
cg02834846_TC11	CRH
cg20329958_BC21	CRH
cg18640030_BC21	CRH
cg23027580_TC21	CRH
cg04227637_BC21	CRH
cg03405789_BC21	CRH
cg16888621_BC21	CRH
cg21878188_TC21	CRH
cg24997986_BC21	CRH
cg08215831_TC21	CRH
cg00269606_BC21	CRH
cg19035496_BC21	CRH
cg00468228_BC21	CRH
cg23409074_TC21	CRH
cg00603617_TC21	CRH
cg16664570_BC21	CRH
cg11699476_TC21	CRH
cg01972826_BC21	CRH
cg17578833_BC21	CRH
cg19696975_BC21	CRH
cg23990470_TC21	CRH
cg12668398_TC21	CRH
cg12668395_BC21	CRH
cg12668381_TC21	CRH
cg11338426_TC11	CRHR1
cg04856689_TC11	CRHR1
cg00911364_BC11	CRHR1
cg13947929_TC11	CRHR1
cg13521908_BC11	CRHR1
cg27503360_TC11	CRHR1
cg08473090_TC11	CRHR1
cg11731737_TC11	CRHR1
cg26656751_BC11	CRHR1
cg22608552_BO11	CRHR1
cg16830379_TC21	CRHR1
cg08929103_TC21	CRHR1
cg07778819_TC21	CRHR1
cg24063856_BC21	CRHR1
cg10256584_BC21	CRHR1
cg03323388_TC21	CRHR1
cg11760414_TC21	CRHR1
cg15834779_BC21	CRHR1
cg08043197_BC21	CRHR1
cg23452480_BC21	CRHR1
cg00025823_BC21	CRHR1
cg03723148_TC21	CRHR1
cg27410679_BC21	CRHR1
cg00022871_TC21	CRHR1
cg12577105_TC21	CRHR1
cg24394631_TC21	CRHR1
cg23907852_TC21	CRHR1
cg15607306_BC21	CRHR1
cg24515861_BC21	CRHR1
cg27551605_BC21	CRHR1
cg03066966_BC21	CRHR1
cg23420656_TC21	CRHR1
cg02122296_BC21	CRHR1
cg22608650_TC21	CRHR1
cg25719092_TC21	CRHR1
cg09251165_BC21	CRHR1
cg02833950_TC21	CRHR1
cg01825492_BC21	CRHR1
cg09422970_BC21	CRHR1
cg10106856_TC21	CRHR1
cg07657976_TC21	CRHR1
cg15117716_TC21	CRHR1
cg17311440_TC21	CRHR1
cg14321938_BC21	CRHR1
cg24738082_TC21	CRHR1
cg01893882_TC21	CRHR1
cg25973941_TC21	CRHR1
cg22939704_BC21	CRHR1
cg15844800_BC21	CRHR1
cg02810898_TC21	CRHR1
cg22608153_BC21	CRHR1
cg22608584_TC21	CRHR1
cg22046703_BC21	CRHR1
cg22609359_BC21	CRHR1
cg22609396_BC21	CRHR1
cg11524343_BC21	CRHR1
cg22609335_BC21	CRHR1
cg14297797_BC21	CRHR1
cg22609244_BC21	CRHR1
cg15218995_TC21	CRHR1
cg08568298_TC21	CRHR1
cg11434527_BC21	CRHR1
cg03882071_TC21	CRHR1
cg15072306_BC21	CRHR1
cg15679139_TC21	CRHR1
cg17612147_TC21	CRHR1
cg18757974_BC21	CRHR1
cg18534039_BC21	CRHR1
cg24353392_BC21	CRHR1
cg22608628_TC21	CRHR1
cg22608583_BC21	CRHR1
cg22608582_TC21	CRHR1
cg22608550_TC21	CRHR1
cg22608159_BC21	CRHR1
cg22608158_BC21	CRHR1
cg14896516_BC11	CRHR2
cg04863452_TC11	CRHR2
cg01718447_TC11	CRHR2
cg09516959_TC11	CRHR2
cg24214442_TC11	CRHR2
cg13094036_BC11	CRHR2
cg21773872_TC11	CRHR2
cg27345762_BC11	CRHR2
cg24610236_TC11	CRHR2
cg27430726_TC11	CRHR2
cg02712145_TC21	CRHR2
cg04922810_TC21	CRHR2
cg03667083_TC21	CRHR2
cg18351440_TC21	CRHR2
cg23068772_TC21	CRHR2
cg03012028_TC21	CRHR2
cg13134297_TC21	CRHR2
cg25936815_TC21	CRHR2
cg06866646_BC21	CRHR2
cg23185751_BC21	CRHR2
cg26262196_BC21	CRHR2
cg26415343_TC21	CRHR2
cg21110092_TC21	CRHR2
cg01049782_TC21	CRHR2
cg04923928_BC21	CRHR2
cg07658503_BC21	CRHR2
cg08913410_BC21	CRHR2
cg18285819_BC21	CRHR2
cg01819552_BC21	CRHR2
cg01972879_TC21	CRHR2
cg15615793_BC21	CRHR2
cg09797340_TC21	CRHR2
cg18911683_TC21	CRHR2
cg25014458_TC21	CRHR2
cg24430106_TC21	CRHR2
cg25639595_BC21	CRHR2
cg10740877_BC21	CRHR2
cg22826063_TC21	CRHR2
cg02272761_TC21	CRHR2
cg16755766_BC21	CRHR2
cg06175988_TC21	CRHR2
cg19920989_TC21	CRHR2
cg01179849_BC21	CRHR2
cg13543555_TC21	CRHR2
cg27191795_BC21	CRHR2
cg12511160_TC21	CRHR2
cg05877083_BC21	CRHR2
cg03484834_BC21	CRHR2
cg18266052_TC21	CRHR2
cg03216944_BC21	CRHR2
cg17924854_BC21	CRHR2
cg00599823_BC21	CRHR2
cg10838574_BC21	CRHR2
cg16127724_BC21	CRHR2
cg10837890_TC21	CRHR2
cg24976805_BC21	CRP
cg08474603_BC21	CRP
cg01365152_BC21	CRP
cg15553852_TC21	CRP
cg09267046_TC21	CRP
cg15076824_BC21	CRP
cg06779393_BC21	CRP
cg03543081_BC21	CRP
cg04861230_TC21	CRP
cg25257346_TC21	CRP
cg21571784_TC21	CRP
cg23615393_BC21	CRP
cg14135757_TC11	CRY1
cg03742214_BC11	CRY1
cg10126874_BC11	CRY1
cg06758649_TC11	CRY1
cg04801236_TC11	CRY1
cg21581733_BC11	CRY1
cg03853227_TC11	CRY1
cg12758451_BC11	CRY1
cg18038956_BC11	CRY1
cg04213305_TC11	CRY1
cg12281694_TC11	CRY1
cg26212496_TC11	CRY1
cg16345521_TC11	CRY1
cg24646513_TC21	CRY1
cg11146884_TC21	CRY1
cg27067282_BC21	CRY1
cg21834204_TC21	CRY1
cg20193872_BC21	CRY1
cg03459784_BC21	CRY1
cg07730007_BC21	CRY1
cg07870003_BC21	CRY1
cg00442220_TC21	CRY1
cg03073714_BC21	CRY1
cg18121829_TC21	CRY1
cg23544168_BC21	CRY1
cg00685115_BC21	CRY1
cg21935516_BC21	CRY1
cg19047049_BC21	CRY1
cg08756366_BC21	CRY1
cg06233689_TC21	CRY1
cg05296753_TC21	CRY1
cg18690793_BC21	CRY1
cg02852211_BC21	CRY1
cg02504447_BC21	CRY1
cg26119123_BC21	CRY1
cg10668648_TC21	CRY1
cg08714901_BC21	CRY1
cg18038274_BC21	CRY1
cg06205108_TC21	CRY1
cg18038563_BC21	CRY1
cg04423613_BC21	CRY1
cg26520722_BC21	CRY1
cg25022611_BC21	CRY1
cg20259552_BC21	CRY1
cg18038255_BC21	CRY1
cg07735826_TC21	CRY1
cg01618083_TC11	CRY2
cg09847284_TC11	CRY2
cg22234194_TC11	CRY2
cg02615000_BC11	CRY2
cg15719126_TC11	CRY2
cg17367356_BC11	CRY2
cg24754334_BC11	CRY2
cg13762257_TC11	CRY2
cg22456085_TC11	CRY2
cg26260819_BC11	CRY2
cg03491478_BC21	CRY2
cg03568064_BC21	CRY2
cg24691578_BC21	CRY2
cg23097878_TC21	CRY2
cg24354272_BC21	CRY2
cg26125082_TC21	CRY2
cg07326765_TC21	CRY2
cg14618246_BC21	CRY2
cg07528484_BC21	CRY2
cg07524456_TC21	CRY2
cg21002528_TC21	CRY2
cg15812322_BC21	CRY2
cg24305156_BC21	CRY2
cg19142399_TC21	CRY2
cg12208899_BC21	CRY2
cg02208899_TC21	CRY2
cg12977328_BC21	CRY2
cg21865108_TC21	CRY2
cg24774960_TC21	CRY2
cg20879606_BC21	CRY2
cg13809236_BC21	CRY2
cg24361620_TC21	CRY2
cg15675740_BC21	CRY2
cg15616511_TC21	CRY2
cg26742859_TC21	CRY2
cg04200323_TC21	CRY2
cg11112908_TC21	CRY2
cg25904177_TC21	CRY2
cg21461157_BC21	CRY2
cg13651554_TC21	CRY2
cg15642285_BC21	CRY2
cg05996224_TC21	CRY2
cg09659319_TC21	CRY2
cg25736892_BC21	CRY2
cg17409437_BC21	CRY2
cg27649007_TC21	CRY2
cg03070592_BC21	CRY2
